Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis,Gain,Currency,Unmatched,AcquiredAccount,AcquiredId,SoldAccount,SoldId
1.2103,BTC,31/03/2013,29/05/2017,2838.36,131.63,2706.73,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bits of Gold,5cd954958eaa43b83b04a237
9.42,BCH,05/08/2017,06/08/2017,2826.67,0,2826.67,USD,,fork,5d5171d8f48ab784110f339e,Onchain,5e45640391e6e8097423cd48
0.9,BTC,31/03/2013,07/08/2017,2732.3,97.88,2634.42,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bits of Gold,5cd954dc486b2bbd3b20e8bb
0.2,BTC,31/03/2013,30/10/2017,1229.08,21.75,1207.33,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e888
0.057715,BTC,31/03/2013,02/11/2017,398.58,6.28,392.3,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e887
0.12169966,BTC,31/03/2013,02/11/2017,840.46,13.24,827.22,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e886
0.020586,BTC,31/03/2013,02/11/2017,142.17,2.24,139.93,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e885
0.17,BTC,31/03/2013,20/11/2017,1399.15,18.49,1380.66,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e884
0.109,BTC,31/03/2013,28/11/2017,1073.8,11.85,1061.95,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e883
0.038,BTC,31/03/2013,28/11/2017,374.31,4.13,370.18,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e882
0.22038567,BTC,31/03/2013,28/11/2017,2284.14,23.97,2260.17,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e881
0.013,BTC,31/03/2013,28/11/2017,133.62,1.41,132.21,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e880
0.05571,BTC,31/03/2013,28/11/2017,571.03,6.06,564.97,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e87f
0.021668,BTC,31/03/2013,28/11/2017,220.24,2.36,217.88,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e87a
0.16300557,BTC,31/03/2013,28/11/2017,1656.86,17.73,1639.13,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e87b
0.033613,BTC,31/03/2013,28/11/2017,342.62,3.66,338.96,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e87c
0.036404,BTC,31/03/2013,28/11/2017,371.17,3.96,367.21,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e87d
0.17523237,BTC,31/03/2013,28/11/2017,1786.64,19.06,1767.58,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e87e
0.015,BTC,31/03/2013,28/11/2017,153.75,1.63,152.12,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e879
0.025221,BTC,31/03/2013,28/11/2017,254.2,2.74,251.46,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e872
0.066026,BTC,31/03/2013,28/11/2017,666.4,7.18,659.22,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e873
0.014144,BTC,31/03/2013,28/11/2017,142.76,1.54,141.22,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e874
0.1669024,BTC,31/03/2013,28/11/2017,1684.55,18.15,1666.4,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e875
0.11315094,BTC,31/03/2013,28/11/2017,1142.07,12.31,1129.76,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e876
0.16949153,BTC,31/03/2013,28/11/2017,1713.1,18.43,1694.67,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e877
0.14104372,BTC,31/03/2013,28/11/2017,1427.59,15.34,1412.25,USD,,Bitgo,5d4ad6a00e7c462b3c42dc21,Bit2C,5cd94f4d486b2bbd3b20e878
